Sampling Rate;100.00;;
MCA L;MCA R;ABP;ETCO2
cm/s;cm/s;mmHg;mmHg
86.00;94.00;145.84;5.18
47.00;47.00;74.68;2.60
49.00;48.00;75.87;2.68
52.00;51.00;79.80;2.66
55.00;55.00;87.49;2.66
58.00;50.00;99.29;2.64
60.00;50.00;115.74;2.66
59.00;47.00;131.95;2.66
58.00;47.00;145.78;2.66
57.00;48.00;152.93;2.68
56.00;52.00;153.65;2.70
56.00;49.00;150.73;2.72
55.00;51.00;146.08;2.78
56.00;55.00;142.21;2.76
55.00;59.00;138.75;2.80
53.00;61.00;136.01;2.80
52.00;60.00;135.59;2.86
52.00;52.00;135.95;2.86
51.00;55.00;136.07;2.94
51.00;55.00;134.28;2.94
49.00;47.00;129.93;2.94
49.00;46.00;125.64;3.00
48.00;47.00;120.45;3.10
48.00;45.00;116.22;3.14
48.00;47.00;109.78;3.20
48.00;45.00;102.57;3.24
47.00;45.00;96.61;3.30
47.00;47.00;94.29;3.44
47.00;45.00;94.47;3.54
47.00;45.00;94.94;3.54
46.00;45.00;95.84;3.64
46.00;49.00;97.21;3.76
46.00;50.00;98.70;3.94
45.00;49.00;100.72;4.12
45.00;49.00;101.80;4.16
44.00;46.00;100.96;4.26
44.00;44.00;98.46;4.42
42.00;55.00;95.60;4.60
42.00;49.00;93.51;4.84
41.00;48.00;93.69;4.88
41.00;49.00;92.20;5.10
42.00;57.00;91.13;5.28
46.00;61.00;89.04;5.48
50.00;63.00;88.33;5.62
55.00;58.00;88.92;5.92
60.00;71.00;88.51;6.12
64.00;75.00;86.72;6.42
70.00;82.00;85.11;6.60
73.00;80.00;83.26;6.78
75.00;84.00;82.72;7.12
78.00;84.00;82.49;7.52
79.00;82.00;81.41;7.82
79.00;73.00;78.55;8.22
81.00;74.00;77.48;8.40
83.00;81.00;76.65;8.70
85.00;79.00;76.23;9.18
88.00;79.00;75.63;9.52
85.00;81.00;74.98;9.96
85.00;79.00;74.44;10.10
86.00;80.00;73.90;10.62
84.00;78.00;73.37;11.00
83.00;67.00;73.01;11.24
82.00;64.00;72.47;11.36
81.00;61.00;71.64;11.58
